"Study Area","Transect Name","PointId","Observer","Date","DBH LT 23cm","DBH GT 38cm","DBH 23cm To 38cm","Snags","Grazing","Notes"
SHA-12-02,CHGA,CHGA-03,"Reese, Nathan",2018-05-21,,,,,1,
GLE-13-05,SANR,SANR-10,"Martin, Ben",2015-07-13,,,,,1,"No information on tree DBH"
GLE-13-05,SANR,SANR-10,"Halstrom, Grant",2018-05-29,,,2,,1,"CANT TELL IF DBH >38 IS 2 OR 11"
GLE-13-05,SANR,SANR-11,"Halstrom, Grant",2018-05-29,39,25,1,,1,"LARK SPARROW 10M FROM THE POINT UNDER A ROCK - 4 FLEDGLINGS!"
GLE-13-05,SANR,SANR-19,"Martin, Ben",2015-07-24,,,,,1,"No data on tree DBH"
GLE-13-05,SANR,SANR-19,"Halstrom, Grant",2018-05-29,,2,,,1,
GLE-13-05,SANR,SANR-06,"Halstrom, Grant",2018-05-29,31,13,4,1,1,
GLE-13-04,SFWO,SFWO-19,"Halstrom, Grant",2018-06-01,2,3,2,,1,
GLE-13-04,SFWO,SFWO-19,"Garcia, Dabid",2022-04-14,1,4,5,1,1,
GLE-13-04,SFWO,SFWO-02,"Halstrom, Grant",2018-06-11,22,23,5,1,1,
GLE-13-04,SFWO,SFWO-04,"Halstrom, Grant",2018-05-30,18,18,10,1,1,
GLE-13-04,SFWO,SFWO-04,"Garcia, Dabid",2022-04-13,17,33,19,1,1,
GLE-13-04,SFWO,SFWO-05,"Halstrom, Grant",2018-05-30,9,9,9,1,1,
GLE-13-04,SFWO,SFWO-05,"Garcia, Dabid",2022-04-13,10,5,7,2,1,
GLE-13-02,DIVR,DIVR-19,"Martin, Ben",2015-06-25,,,,,1,"No info for DBH of trees"
GLE-13-02,DIVR,DIVR-19,"Garcia, Dabid",2022-04-12,51,12,3,2,,
GLE-13-02,DIVR,DIVR-21,"Martin, Ben",2015-07-13,,,,,1,"No info for DBH of trees. Salt lick present on site. A lot of dead/dry forbs."
GLE-13-02,DIVR,DIVR-21,"Garcia, Dabid",2022-04-13,116,51,10,1,1,"Transect crosses dirt road"
GLE-13-02,DIVR,DIVR-04,"Garcia, Dabid",2022-04-12,30,60,25,1,,
GLE-13-02,DIVR,DIVR-05,"Garcia, Dabid",2022-04-12,119,78,26,2,,
GLE-13-03,BORO,BORO-16,"Martin, Ben",2015-07-17,,,,1,1,
GLE-13-03,BORO,BORO-04,"Martin, Ben",2015-07-17,,,,,1,
LAS-13-02,SMCR,SMCR-11,"Russell, Tiffany",2016-05-25,,,,,,
LAS-13-02,SMCR,SMCR-04,"Russell, Tiffany",2016-05-25,,,,,1,"Last year was grazed, rested this year"
LAS-12-07,DRCA,DRCA-10,"Russell, Tiffany",2016-05-23,,,,,,"No grazing in the last 2 years"
LAS-12-07,DRCA,DRCA-09,"Russell, Tiffany",2016-05-23,0,0,0,0,1,"rested from grazing for 2 years"
ELD-14-01,WAKA,WAKA-06,"Fogg, Alissa",2018-05-25,5,,8,,,"Does not appear to have been grazed yet this growing season but sheep were on it last fall."
ELD-14-01,WAKA,WAKA-06,"Fogg, Alissa",2021-06-08,5,3,7,,1,"Was grazed in spring lightly"
ELD-14-01,WAKA,WAKA-10,"Fogg, Alissa",2018-05-21,,,5,,1,"Could not releve 1/4 of plot due to electric fencing with sheep and dog inside."
ELD-14-01,WAKA,WAKA-10,"Fogg, Alissa",2021-05-25,,,3,,1,"Grazed last fall 2020 by sheep"
ELD-14-01,WAKA,WAKA-13,"Fogg, Alissa",2018-05-09,,,,,1,
ELD-14-01,WAKA,WAKA-13,"Fogg, Alissa",2021-05-25,,,,,1,"Sheep grazed hard fall 2020 then range seeded."
SHA-14-05,ABER,ABER-02,"Young, Alicia",2016-05-16,29,35,14,2,1,
SHA-14-05,ABER,ABER-02,"Reese, Nathan",2018-05-17,26,28,6,1,1,
SHA-14-05,ABER,ABER-10,"Young, Alicia",2016-05-18,122,34,0,4,0,
SHA-14-05,ABER,ABER-10,"Reese, Nathan",2018-05-16,464,8,4,,1,"Pig Rooting on line 318 degree - point 14-16; 33-38"
SHA-14-05,ABER,ABER-14,"Young, Alicia",2016-05-18,86,42,7,4,0,
SHA-14-05,ABER,ABER-14,"Reese, Nathan",2018-05-16,260,92,6,1,1,"Lark Sparrow nesting off of line; 4 eggs"
ELD-14-02,SFRA,SFRA-06,"Fogg, Alissa",2017-04-19,,1,,,1,"Wet swale grazed down through both transects; difficult to ID grasses at times, may be other wetland-associated species not accounted for."
ELD-14-02,SFRA,SFRA-06,"Fogg, Alissa",2022-05-12,,1,,,1,"Still fairly green. Saw mama bear and cub! Near SFRA-10"
ELD-14-02,SFRA,SFRA-08,"Fogg, Alissa",2017-04-17,,,1,,1,"Thatch is mostly medusahead."
ELD-14-02,SFRA,SFRA-08,"Noda, Sophie",2022-06-08,,,1,,1,
ELD-14-02,SFRA,SFRA-12,"Fogg, Alissa",2017-04-17,,,3,,1,"DID NOT MEASURE CANOPY ON LINE INTERCEPT; HOPE TO RETURN TO DO SO. NO HEIGHT ON OAKS, ALSO PLAN TO RETURN FOR THIS VARIABLE."
ELD-14-02,SFRA,SFRA-12,"Noda, Sophie",2022-06-08,,1,7,,1,
SHA-12-02,FENW,FENW-03,"Young, Alicia",2016-05-03,0,0,0,0,1,
SHA-12-02,FENW,FENW-03,"Reese, Nathan",2018-05-17,6,1,1,,1,
SHA-12-02,FENW,FENW-03,"Garcia, Dabid",2022-05-04,1,3,5,,1,
SHA-12-02,FENW,FENW-10,"Young, Alicia",2016-05-04,30,17,8,1,0,
SHA-12-02,FENW,FENW-10,"Reese, Nathan",2018-05-21,55,16,8,,1,"Seasonal drainage in plot."
SHA-12-02,FENW,FENW-10,"Garcia, Dabid",2022-05-03,66,38,13,2,1,
SHA-12-02,FENW,FENW-20,"Young, Alicia",2015-05-03,151,59,12,3,0,
SHA-12-02,FENW,FENW-20,"Reese, Nathan",2018-05-18,108,10,2,,1,"Cattle in the pasture during sampling."
SHA-12-02,FENW,FENW-20,"Garcia, Dabid",2022-05-03,142,61,18,2,,
SHA-12-02,FENW,FENW-23,"Young, Alicia",2016-05-03,17,15,5,0,0,
SHA-12-02,FENW,FENW-23,"Reese, Nathan",2018-05-18,29,4,6,,1,
SHA-12-02,FENW,FENW-23,"Garcia, Dabid",2022-05-03,18,12,9,4,1,
SHA-12-02,FENW,FENW-30,"Herrera, Alicia",2016-05-04,34,18,2,0,0,
SHA-12-02,FENW,FENW-30,"Reese, Nathan",2018-05-18,67,15,6,,1,
SHA-12-02,FENW,FENW-30,"Garcia, Dabid",2022-05-03,45,15,8,1,1,
SHA-12-05,DERS,DERS-06,"Reese, Nathan",2018-05-15,72,13,5,,1,
SHA-12-05,DERS,DERS-09,"Reese, Nathan",2018-05-15,47,16,17,3,1,
SHA-12-05,DERS,DERS-14,"Reese, Nathan",2018-05-15,,2,1,,1,
FRE-14-01,MCPR,MCPR-03,"Eyestone, Bonnie",2016-04-22,0,2,3,2,1,
FRE-14-01,MCPR,MCPR-03,"Halstrom, Grant",2018-04-19,,,2,,1,
FRE-14-01,MCPR,MCPR-03,"Le, My-Lan",2022-04-05,,,4,3,1,"less than 1% of 50 m radius has a road"
FRE-14-01,MCPR,MCPR-07,"Eyestone, Bonnie",2016-04-22,9,12,6,10,1,
FRE-14-01,MCPR,MCPR-07,"Swanson, Ryan",2018-04-19,11,15,9,4,1,
FRE-14-01,MCPR,MCPR-07,"Noda, Sophie",2022-04-05,18,32,12,9,1,
FRE-14-01,MCPR,MCPR-09,"Eyestone, Bonnie",2016-04-22,5,18,7,5,1,"puppy chewed on data sheetï¿½ some data points missing."
FRE-14-01,MCPR,MCPR-09,"Swanson, Ryan",2018-04-19,8,17,10,2,,
FRE-14-01,MCPR,MCPR-09,"Noda, Sophie",2022-04-05,8,11,4,3,1,"Not super crispy"
MAD-14-01,FINE,FINE-13,"Eyestone, Bonnie",2016-04-21,15,6,8,0,1,"VERY LIGHT GRAZING, LITTLE DISTURBANCE"
MAD-14-01,FINE,FINE-13,"Halstrom, Grant",2018-04-20,15,9,1,,,
MAD-14-01,FINE,FINE-13,"Noda, Sophie",2022-04-04,16,10,9,3,1,
MAD-14-01,FINE,FINE-06,"Eyestone, Bonnie",2016-04-21,11,6,9,4,1,"light grazing; some boulders/rocky outcrop; many large downed logs; moss and lichen on rocks; juve OATIs begging"
MAD-14-01,FINE,FINE-06,"Halstrom, Grant",2018-04-20,10,6,6,6,1,
MAD-14-01,FINE,FINE-06,"Noda, Sophie",2022-04-04,12,12,2,2,1,"phenology seemed perfect- most grasses flowering, still many forbs. BORAGI on LPI is likely a plagiobothrys."
MAD-14-01,FINE,FINE-08,"Eyestone, Bonnie",2016-04-21,3,5,12,3,1,"LIGHT GRAZING"
MAD-14-01,FINE,FINE-08,"Eyestone, Bonnie",2018-04-20,1,4,8,3,1,
MAD-14-01,FINE,FINE-08,"Le, My-Lan",2022-04-04,15,16,18,3,1,"Dirt road is 1% of 50m radius. Species are different right at road edge."
SHA-14-05,ABER,ABER-20,"Young, Alicia",2016-05-16,0,0,0,0,0,
SHA-14-05,ABER,ABER-20,"Reese, Nathan",2018-05-17,,,,,1,
SHA-14-05,ABER,ABER-28,"Young, Alicia",2016-05-18,0,0,0,0,0,
SHA-14-05,ABER,ABER-28,"Reese, Nathan",2018-05-16,,,,,1,
SHA-14-05,ABER,ABER-32,"Young, Alicia",2016-05-16,0,2,2,0,0,
SHA-14-05,ABER,ABER-32,"Reese, Nathan",2018-05-17,,,3,,1,
YOL-14-02,YARI,YARI-01,"Shake, Corey",2016-05-09,21,2,3,0,1,"searched for 30 min, grazed farily heavily in March"
YOL-14-02,YARI,YARI-01,"Shake, Corey",2017-05-19,41,5,3,1,,"Generally ungrazed though a few heifers have snuck in.  Restoration site planted this winter - paper datasheet indicates which species were added by restoration.  NE LPI transect crossed a mowed strip and dirt road.  In LPI, ELYMU = Elymus, not sure if LETR5 or ELGL; 2GP is probably POSE."
YOL-14-02,YARI,YARI-01,"Shake, Corey",2021-05-12,37,4,2,,0,"Not grazed for at least 5 years or mowed for at least 3 years. Road on points 29-33 on transect 312 degrees. 2GA thatch likely BRDI3 or AVENA on 132 transect"
YOL-14-02,YAGR,YA03-01,"Shake, Corey",2016-04-19,0,0,0,0,0,"enrolled in CRP- not grazed this year- only lightly grazed in previous years"
YOL-14-02,YAGR,YA03-01,"Shake, Corey",2017-05-19,,,,,0,"In 50m radius, THINO = <1% cover, AETR = 6%, SIMA3 = <1%, CAPY2 = <1%.  This is Conservation Reserve Program - rarely grazed.  Last time grazed was 3 yrs ago with sheep and only briefly.  Was prescribed burned 3 weeks after veg sampling."
YOL-14-02,YAGR,YA03-01,"Shake, Corey",2018-05-30,,,,,1,"Burned last early June with prescribed fire; grazed only briefly this spring but cattle rarely made it this far from water/shade; AETR <1%"
YOL-14-02,YAGR,YA03-01,"Shake, Corey",2019-04-25,,,,,,
YOL-14-02,YAGR,YA03-01,"Shake, Corey",2021-05-17,,,,,1,"Very few spp. of grass and forbs! moderate grazing because far from water. Most VIVI, CESO3, and LASE will produce little to no seed"
YOL-14-02,YAGR,YA03-04,"Shake, Corey",2016-04-21,0,0,0,0,0,"CRP field- not grazed this year- only lightly in a few previous yrs"
YOL-14-02,YAGR,YA03-04,"Shake, Corey",2017-06-17,,,,,,"In LPI, if thatch was recorded, litter was not recorded in the field, but we noted that it was almost always there and thick like duff. For that reason, I added Litter (L) as a lower layer to all points with thatch.  CRP field rarely grazed, last time was 3 seasons ago short rotations low intensity. Scheduled to be burned this late spring 2017."
YOL-14-02,YAGR,YA03-04,"Shake, Corey",2018-05-30,,,,,1,"Prescribed burn here early June 2017; grazed briefly this spring (April), cattle liked LASE; Bare ground ~45%, AETR ~7%"
YOL-14-02,YAGR,YA03-04,"Shake, Corey",2019-04-25,,,,,,
YOL-14-02,YAGR,YA03-04,"Shake, Corey",2021-05-17,,,,,1,"Most plants, except COAR4, are quite dry and several species produced little to no seed (e.g. VIVI, MEPO3). Notably, the overwhelming majority (~85-90% cover) of AETR did not produced seed head. 3 Baccharis pilularis have colonized this hillside in last 2 years-1 small on in plot."
YOL-14-02,YAGR,YA03-04,"Garcia, Dabid",2022-04-27,,,,,1,
YOL-14-02,YAGR,YA1A-14,"Shake, Corey",2016-04-25,0,0,0,0,1,"will be grazed in 5-8 days, most bare soil from gopher activity"
YOL-14-02,YAGR,YA1A-14,"Shake, Corey",2017-05-17,,,,,1,"Grazed by cattle about 1-1.5 mo.  Weed/other cover estimates:  AETR = 1%, DAGL = 1%, TACA8 =<1%, THINO = 3%."
YOL-14-02,YAGR,YA1A-14,"Shake, Corey",2018-04-25,,,,,0,"Estimated cover w/in 50m:  THINO = 3%, DAGL = 1%, AETR = <1%, TACA8 = 2%.  Not grazed since last summer--not in the current growing season, thus far."
YOL-14-02,YAGR,YA1A-14,"Shake, Corey",2019-04-25,,,,,1,"Currently being grazed."
YOL-14-02,YAGR,YA1A-14,"Shake, Corey",2021-05-12,,,,,1,"Most vegetation is almost entirely dry. Moderate grazing this year."
YOL-14-02,YAGR,YA1A-14,"Garcia, Dabid",2022-04-26,,,,,1,"Cattle in field"
YOL-14-02,YAGR,YA1B-05,"Shake, Corey",2016-04-21,0,0,0,0,1,
YOL-14-02,YAGR,YA1B-05,"Shake, Corey",2017-05-17,,,,,1,"Grazed by 90 heifers in winter and early spring."
YOL-14-02,YAGR,YA1B-05,"Shake, Corey",2018-05-21,,,,,1,"Prescribed burn last spring (second in a row, 2016 as well); Grazed late last summer/early fall; AETR ~15%, TACA8 <1%"
YOL-14-02,YAGR,YA1B-05,"Shake, Corey",2021-05-21,,,,,1,"Heavy grazing very low rainfall combined to make for low, crispy plants that produced little to no seeds (BRAL2 w/ most, AETR w/ none, though somewhat common in patches)"
YOL-14-02,YAGR,YA1B-10,"Shake, Corey",2016-05-09,0,0,0,0,1,"Grazed in December/January"
YOL-14-02,YAGR,YA1B-10,"Shake, Corey",2017-05-19,,,,,,"This year CESO3 study (UC) created exclosure fence to exclude cattle from 97% of 50m radius plot - a few suck in on occasion in the winter."
YOL-14-02,YAGR,YA1B-10,"Shake, Corey",2018-05-18,,,,,,"Grazing exclosure for star thistle study on all but about 3% of 50m radius area; points 46-50 for 172 degrees outside of exclosure."
YOL-14-02,YAGR,YA1B-10,"Shake, Corey",2021-05-20,,,,,,"All but ~3% of plot is ungrazed still in star thistle exclosure. Most plants had little to no seed production this exremely dry year, esp. on S-facing slopes, though BRAL2 and AVENA did better of N- and E- facing slope. AETR plants fairly abundant, but 0 seed heads seen in plot!"
YOL-14-02,YAGR,YA1B-10,"Garcia, Dabid",2022-04-26,,,,,1,"Exclosure fencing for star thistle research enclosing this point was removed last late winter or spring (2021) and a new crossfence way put 50 meters to west (going N-S). So after no grazing for at least 3 seasons - now grazed."
YOL-14-04,BRGR,BR10-05,"Shake, Corey",2016-05-11,0,0,0,1,1,"Grazed earlier in season- maybe 1-2 months ago"
YOL-14-04,BRGR,BR10-05,"Shake, Corey",2017-06-07,,,,,1,"Visual estimates of cover:  NAPU4 = 1%, AETR = <1%,  TACA8 = 2%, SIMA3 = 1%, CEME2 = 1%, CAPY2 = 1%, PIEC = 4%."
YOL-14-04,BRGR,BR10-05,"Shake, Corey",2018-05-14,,,,,1,
YOL-14-04,BRGR,BR10-05,"Noda, Sophie",2021-05-26,,,,,,"Because no water in ponds this field was not grazed this season. Burned in LNU complex wildlife last summer. Plant search was 25 minutes"
YOL-14-04,BRGR,BR10-05,"Garcia, Dabid",2022-04-28,,,,,1,"MESC6 (Medicago scutellata) not discovered in CADC, so entered as MEDIC (Medicago). -SJN On LPI, all LUSU is dried/brown and in several areas collapsed and laying horizontal much shorter than it's max height (45-65 cm). SIMA3 lower leaves also senesced/fallen off making it appear less abundant than it was. Plant search was 26 min of effort."
YOL-14-04,BRGR,BR03-02,"Shake, Corey",2016-05-16,0,5,2,0,1,"field is currently being grazed but cattle appear to very rarely graze up to this high point"
YOL-14-04,BRGR,BR03-02,"Shake, Corey",2017-06-07,,3,3,,1,"In 50-m radius, visual estimate for AETR is 5% cover, TACA8 is 1%, SIMA3 is 1%, and CAPY2 is 2%.  EPILO is annual Epilobium sp., perhaps a willowherb.  Sites appear to have burned intensely along transect 2 (9 degrees) and on north slope to east--burned in July 2016."
YOL-14-04,BRGR,BR03-02,"Shake, Corey",2018-05-14,,4,3,,1,"NOT YET GRAZED THIS YEAR"
YOL-14-04,BRGR,BR03-02,"Shake, Corey",2019-05-06,,1,5,,1,
YOL-14-04,BRGR,BR03-02,"Noda, Sophie",2021-05-28,,2,5,,,"Not grazed this season, but burned in LNU complex wildfire last season"
YOL-14-04,BROW,BR04-08,"Shake, Corey",2016-05-11,35,19,7,1,1,
YOL-14-04,BROW,BR04-08,"Shake, Corey",2017-06-05,28,12,8,2,1,"Aristida sp. (ARIST) is probably Aristida ternipes, but didn't collect to confirm.  3 different unidentified annual forbs, two of which in Asteraceae."
YOL-14-04,BROW,BR04-08,"Shake, Corey",2018-05-14,63,9,4,,1,
YOL-14-04,BROW,BR04-08,"Shake, Corey",2019-05-06,42,39,12,4,1,
YOL-14-04,BROW,BR04-08,"Noda, Sophie",2021-05-27,47,25,15,5,1,"Burned in last summer's LNU complex wildfire"
YOL-14-04,BROW,BR09-04,"Shake, Corey",2016-05-16,8,26,3,1,1,
YOL-14-04,BROW,BR09-04,"Shake, Corey",2017-05-12,14,21,4,,1,"LPI transect 1, creekbed at pts 25-30.  Searched species diversity for 28 min because of high diversity.  Three small native annual Trifolium species found, but was only able to identify T. ciliolatum because of very dry specimens.  Visual estimates of cover w/in 50 m:  NAPU4 = 6%, AETR = 8%, TACA8 = 38%, MECA2 = <1%, BRDI2 = 4%, BRDI3 = <1%, and CEME2 = <1%."
YOL-14-04,BROW,BR09-04,"Shake, Corey",2018-05-14,7,18,9,2,1,
YOL-14-04,BROW,BR09-04,"Noda, Sophie",2021-05-26,13,20,8,3,,"I don't think this was grazed this season, but was burned in last years LNU complex wildfire. Plant search was 24 minutes"
YOL-14-03,YLOW,YL05-05,"Shake, Corey",2016-05-10,3,13,6,3,1,"grazing not recent but w/in this season"
YOL-14-03,YLOW,YL05-05,"Shake, Corey",2017-06-09,4,10,7,2,1,"Cattle bedding area in LPI 2nd transect 26-33, smashed grass.  Visual estimate of cover w/in 50 m:  TACA8 = 30%, AETR = <1%, NAPU4 = 3%, and MECA2 = <1%."
YOL-14-03,YLOW,YL05-05,"Shake, Corey",2018-05-07,,9,9,1,1,"NAPU4 Presence 1%         MECA2 2%"
YOL-14-03,YLOW,YL05-05,"Noda, Sophie",2021-05-07,3,9,7,2,1,"Most grasses dried up significantly and forbs too. Except TACA8, LOPEM2, perennials"
YOL-14-03,YLGR,YL06-02,"Shake, Corey",2016-05-05,2,0,0,0,1,"Currently being grazed, browse line on willows"
YOL-14-03,YLGR,YL06-02,"Shake, Corey",2017-05-25,1,,,,1,"Currently being grazed - cropped grass common.  EPILO = unknown annual Epilobium species, likely willow herb, but not sure which species.  Cover estimates w/in 50 m: AETR = 4%, NAPU4 = <1%, TACA8 = 40%."
YOL-14-03,YLGR,YL06-02,"Shake, Corey",2018-05-07,,,,,1,"MECA2 Presence <1 NAPU4 <1"
YOL-14-03,YLGR,YL06-02,"Shake, Corey",2021-05-06,,1,,,1,"Grazing has been heavy this year with very low precip, less than 6 inches"
YOL-14-03,YLGR,YL06-02,"Garcia, Dabid",2022-04-27,,1,,,1,
YOL-14-03,YLOW,YL09-05,"Shake, Corey",2016-05-10,0,0,0,0,1,
YOL-14-03,YLOW,YL09-05,"Shake, Corey",2017-05-03,,,2,,1,"Invasive/per. grass visual estimate of cover within 50 m:  NAPU4 = <1%, BRDI3 = <1%, BRRU2 = <1%, AETR = 1%, TACA8 = 38%, LASE = <1%, CEME2 = <1%, and CESO3 = <1%."
YOL-14-03,YLOW,YL09-05,"Shake, Corey",2018-05-08,,,1,,1,
YOL-14-03,YLOW,YL09-05,"Noda, Sophie",2021-05-06,,,,,1,"Plot burned in LNU fire last summer- very little growth this year. Canopy of 1 big QUDO is ~1% cover but it is rooted just outside plot. Everything expect TRHI4, NAPU4, RUCR already dried up."
YOL-14-03,YLGR,YL12-TR,"Shake, Corey",2016-05-03,0,0,0,0,1,
YOL-14-03,YLGR,YL12-TR,"Shake, Corey",2017-05-02,,,,,1,"Difficult to estimate invasive grass cover because grazed and seed heads often not visible, but AETR ~ 2-3% cover and BRAL2 (Bomus caroli-henrici) ~ 25%.  Grazed somewhat heavily (~400-1200 lbs/ac RDM) so plant ID difficult for some things."
YOL-14-03,YLGR,YL12-TR,"Shake, Corey",2018-05-08,,,,,1,
YOL-14-03,YLGR,YL12-TR,"Shake, Corey",2019-05-08,,,,,1,
YOL-14-03,YLGR,YL12-TR,"Halstrom, Grant",2020-05-14,,,,,1,
YOL-14-03,YLGR,YL12-TR,"Noda, Sophie",2021-05-05,,,,,1,"Area was heavily grazed and production low- exceptionally dry year"
"Yolo County",YOL-14-05,10-AN,"Shake, Corey",2018-05-16,,,,,1,"grazed in fall/winter"
"Yolo County",YOL-14-05,09-AE,"Shake, Corey",2018-05-16,,,,,1,"GRAZED FALL/WINTER"
MAR-13-02,BEAN,BEAN-01,"Mong, Catie",2021-05-12,2,9,8,,1,"near riparian area, 2 unknown grass (brome not soft chess another in poa), 2 unknown forbes"
MAR-13-02,BEAN,BEAN-02,"Harding, Mitzi",2016-05-25,17,7,6,0,1,"CARYO= unknown Caryophyllaceae (dried fruits onky- no fresh herbage or flowers to ID).2 species of clarkia occuring within plot."
MAR-13-02,BEAN,BEAN-02,"Guntly, Katie",2018-05-06,4,4,8,,,"POND FROM 15 ONWARD FOR 140; 19, 43 FOR 320 UNKNOWN PLANT CODE (GREND WRITTEN ON DATA SHEET); WATER AFTER 46 AT 320"
MAR-13-02,BEAN,BEAN-02,"Mong, Catie",2021-05-12,7,3,3,5,1,"transect 140 degrees stopped at pond, ""fire spot?"" bear poppy?, purple larkspur"
MAR-13-04,3B-G,3B-G-49,"Harding, Mitzi",2016-05-05,9,20,9,12,0,"TO BE GRAZED FIRST WEEK IN JUNE"
MAR-13-04,3B-G,3B-G-49,"Guntly, Katie",2018-05-02,3,9,6,19,,"NO GRAZING RECENTLY; BLUE OAK SEEDLINGS"
MAR-13-04,3B-I,3B-I-00,"Harding, Mitzi",2016-05-20,1,5,5,1,0,"Points 43-45 in the 98 degree direction occurred on an access road. One small Pinus sabiniana sapling observed (8"")."
MAR-13-04,3B-I,3B-I-00,"Guntly, Katie",2018-04-30,,1,1,1,1,
MAR-13-04,3B-I,3B-I-00,"Mong, Catie",2021-05-06,6,3,,2,1,"Last grazed 2.5 months ago. Growing season was 10-20 days short. Lost access to monitor 3B-I in the future."
